acks;aveLatency;batchSize;batchSizeAvg;maxLatency;partitions;publishRate;recPerReqAvg;recSendRate;reqLatAvg;reqLatMax;sentMessages;parti;rate;batchesRation;rm1;rm2;rm3;rm4;rm5;rm6;rm7;rm8;rm9;rm10;rm11;rm12;rm13;rm14;rm15;rm16;rm17;rm18;rm19;rm20;tm1;tm2;tm3;tm4;tm5;tm6;tm7;tm8;tm9;tm10;tm11;tm12;tm13;tm14;tm15;tm16;tm17;tm18;tm19;tm20;rate_min;rate_max;rate_avg;thro_min;thro_max;thro_avg
all;1460.69;16384;12337.97;10629.25;10;0.4;36.29;72419.93;24.83;209.25;24028852;part=10;rate=50000;75.30499267578125;71152.39;78530.77;79205.97;79864.94;81086.64;81244.76000000001;82089.2;81911.45999999999;81703.06;79033.33;79340.66;81593.70999999999;78418.42;77068.01999999999;80802.68;77572.34999999999;80035.07;80570.48;81607.74;80908.62;69.49000000000001;76.7;77.34;77.99000000000001;79.19;79.34;80.17;79.99000000000001;79.78999999999999;77.18;77.47;79.68;76.58;75.25;78.9;75.76;78.15;78.68;79.7;79.02;71152.39;82089.2;79687.0135;69.49000000000001;80.17;77.8185
0;550.71;16384;8816.72;8408.25;10;0.3;23.53;110404.25;;;45902761;part=10;rate=50000;53.81298828124999;109032.91;113599.08;112441.57;111265.06;109532.59;107753.89;105068.2;179173.90000000002;241423.57;239424.07;235481.03;222349.44;167128.57;219973.35;196234.6;119128.5;118274.47;117022.01000000001;115546.57;114043.71;106.49;110.94;109.8;108.66;106.97;105.22999999999999;102.61;174.97;235.77;233.81;229.96;217.13;163.22;214.81;191.64;116.34;115.50999999999999;114.28;112.84;111.37;105068.2;241423.57;152694.85450000002;102.61;235.77;149.11750000000004
0;1085.1;32768;14731.39;6485.5;10;0.31;38.38;88643.6;;;29210779;part=10;rate=50000;44.956634521484375;108705.55;114638.34;113351.95;111726.31;109891.55;107988.88;105565.41;101476.45999999999;90722.18;88869.8;88780.46;88836.73;88797.39;88783.34;88838.44;88804.81;88823.97;88794.48999999999;88807.98;88795.82;106.17;111.96000000000001;110.69;109.1;107.31;105.45;103.1;99.10000000000001;88.59;86.78999999999999;86.71000000000001;86.75;86.73;86.7;86.75;86.72;86.74;86.71000000000001;86.72999999999999;86.72;88780.46;114638.34;97049.993;86.7;111.96000000000001;94.77600000000002
0;1016.71;32768;32299.9;1528.25;1;0.32;31.0;88961.85;;;29332211;part=1;rate=50000;98.57147216796875;107327.81;113411.34;112787.8;110947.84;109362.86;108639.64;106186.86;102526.95;98093.99;89503.12;89011.17;88951.04;88945.14;89118.59;88969.53;89037.94;89019.22;88972.06;89042.14;88955.66;104.82;110.76;110.15;108.35;106.8;106.10000000000001;103.69;100.12;95.79;87.4;86.92;86.86;86.87;87.03;86.89;86.95;86.93;86.88;86.96000000000001;86.87;88945.14;113411.34;97440.53499999999;86.86;110.76;95.15700000000001
0;1056.67;262144;261286.61;2144.75;1;0.33;251.0;89190.9;;;27832665;part=1;rate=50000;99.67293167114258;103146.29000000001;107396.92;104429.83;101652.53;93570.5;89269.88;89219.85;89286.92;89019.12;89420.78;89236.54000000001;89209.83;109147.57;89319.73;89136.08;89336.88;89111.63;89327.88;89220.08;89186.62;100.74;104.87;101.98;99.27;91.37;87.18;87.13;87.19999999999999;86.93;87.34;87.15;87.13;106.59;87.22;87.03999999999999;87.23;87.02;87.23;87.13;87.10000000000001;89019.12;109147.57;93432.27300000002;86.93;106.59;91.24249999999999
0;954.09;262144;87654.86;9117.75;10;0.31;232.22;89034.98;;;29433248;part=10;rate=50000;33.43767547607422;109848.92;115553.82;114530.88;112812.36;111232.14;109030.20999999999;106463.20000000001;102874.33;92694.9;89062.08;89263.48999999999;89124.39;89158.06;89261.02;89131.69;89101.49;89151.27;89188.95999999999;89266.23;88991.65;107.28;112.85;111.85;110.17;108.63;106.47;103.97;100.46000000000001;90.52;86.98;87.17;87.03999999999999;87.07;87.17;87.05;87.01;87.06;87.1;87.17;86.91;88991.65;115553.82;97787.0545;86.91;112.85;95.4965
1;965.86;32768;32300.58;1599.25;1;0.31;31.0;88559.75;5.62;241.0;29577850;part=1;rate=50000;98.57354736328125;106086.14;111999.59;109446.92;109730.83;106876.66;107488.38;106668.06999999999;105093.05;103324.61;100968.73999999999;96262.83;90418.20999999999;88765.17000000001;88713.06;88889.19;89033.94;88885.04000000001;89034.01000000001;88585.55;89176.96;103.59;109.38;106.88;107.16;104.37;104.97;104.17;102.64;100.91;98.61;94.0;88.3;86.69;86.64;86.8;86.95;86.8;86.95;86.51;87.08;88585.55;111999.59;98272.3475;86.51;109.38;95.97
1;1003.62;131072;130110.4;1395.0;1;0.31;124.99;89118.62;13.93;164.0;29419639;part=1;rate=50000;99.266357421875;108724.72;114109.51;112588.32;111005.13;109555.75;108488.69;106296.53;103580.31999999999;98985.08;89263.94;89206.13;89180.45;89297.78;89203.43;89239.08;89201.27;89230.5;89214.38;89206.3;89120.73999999999;106.17999999999999;111.43;109.94;108.39;107.0;105.95;103.8;101.15;96.66;87.18;87.12;87.09;87.2;87.12;87.15;87.12;87.14;87.12;87.11;87.04;89120.73999999999;114109.51;97734.9025;87.04;111.43;95.4445
0;1031.45;32768;6952.64;20338.0;100;0.39;91.81;87954.42;;;29023371;part=100;rate=50000;21.2177734375;109409.57;114286.04;112904.86;111421.22;109372.93;107507.94;104514.66;99499.59;88637.89;88199.71;88166.07;88142.41;88066.47;88149.25;88018.01;88092.51;88352.62;87966.95999999999;88002.51000000001;88108.56;106.87;111.61;110.26;108.81;106.81;104.99000000000001;102.07;97.16;86.55;86.13;86.1;86.08;86.00999999999999;86.09;85.95;86.03;86.28;85.91;85.94;86.05;87966.95999999999;114286.04;96340.98899999997;85.91;111.61;94.085
0;207.89;524288;10322.05;2584.0;100;0.08;88.26;89207.07;;;29261769;part=100;rate=50000;1.9687747955322263;111356.79000000001;113223.65;110518.87;110000.23;109564.85;107063.62;105441.97;103075.92;100461.68;92206.99;88492.33;88744.49;88614.97;88615.79000000001;88398.26;88650.88;87806.08;89772.72;88476.71;88482.69;108.77000000000001;110.57;107.92;107.42;106.99;104.56;102.97;100.66;98.11;90.05000000000001;86.41;86.67;86.53999999999999;86.53999999999999;86.33;86.58;85.75;87.67;86.4;86.41;87806.08;113223.65;97448.4745;85.75;110.57;95.16600000000001
